2022-10-24 09:12:28,978 DEBUG        (node6242, node6243) - port: 1, 100GB, 0.0021ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node5991, node6132) - port: 1, 100GB, 0.0017499999999999998ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node3713, node6186) - port: 1, 100GB, 0.00035000000000000005ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6129, node6287) - port: 1, 100GB, 0.00045ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node7738, node6331) - port: 1, 100GB, 0.0002ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6374, node6511) - port: 1, 100GB, 0.0016500000000000002ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6290, node6323) - port: 1, 100GB, 0.0014000000000000002ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node7311, node6548) - port: 1, 100GB, 0.0022ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6188, node6585) - port: 1, 100GB, 0.0006500000000000001ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6191, node6191_hw2) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,978 DEBUG        (node6191, node6191_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,978 DEBUG        (node6333, node6333_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,978 DEBUG        (node6191, node6191_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,978 DEBUG        (node6904, node5771) - port: 8, 100GB, 0.0048ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6333, node6333_hw2) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,978 DEBUG        (node6904, node6244) - port: 8, 100GB, 0.0034999999999999996ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6336, node6336_hw2) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,978 DEBUG        (node3522, node4402) - port: 4, 100GB, 0.006350000000000001ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6333, node6333_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,978 DEBUG        (node3522, node5637) - port: 4, 100GB, 0.00505ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6336, node6336_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,978 DEBUG        (node3522, node5880) - port: 4, 100GB, 0.0043ms, 4.5+14w
2022-10-24 09:12:28,978 DEBUG        (node6589, node6589_hw2) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node3714, node4183) - port: 4, 100GB, 0.0067ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node6336, node6336_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4820, node4696) - port: 4, 100GB, 0.00695ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node6589, node6589_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node3416, node3139) - port: 4, 100GB, 0.0048ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node6904, node6904_hw2) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node3416, node3926) - port: 4, 100GB, 0.005699999999999999ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node6589, node6589_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node3416, node6076) - port: 4, 100GB, 0.0055000000000000005ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node6904, node6904_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4912, node4913) - port: 4, 100GB, 0.0048ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node5455, node5455_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4912, node6724) - port: 4, 100GB, 0.005ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node6904, node6904_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:12:28,979 DEBUG        (node4912, node7122) - port: 4, 100GB, 0.00625ms, 4.5+14w
2022-10-24 09:12:28,979 DEBUG        (node3522, node3522_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
