2022-10-24 09:10:04,435 DEBUG        (node5314, node5314_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5714, node5714_hw2) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5314, node5314_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5714, node5714_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node6191, node6191_hw2) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5714, node5714_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node6191, node6191_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node7187, node7187_hw2) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node6191, node6191_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node7187, node7187_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node7314, node7314_hw2) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node7187, node7187_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node7314, node7314_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node4820, node4820_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node7314, node7314_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node3416, node3416_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node3416, node3416_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node4696, node4696_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node4696, node4696_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5315, node5315_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5315, node5315_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node3522, node3522_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node3522, node3522_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5318, node5318_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node5318, node5318_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node6662, node6662_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node6662, node6662_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node3714, node3714_hw1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
2022-10-24 09:10:04,436 DEBUG        (node3714, node3714_bs1) - port: 8, 10GB, 0.0ms, 10.0+4.2w
